ACCESSION	IRa_REPORTED	IRa_REPORTED_START	IRa_REPORTED_END	IRa_REPORTED_LENGTH	IRb_REPORTED	IRb_REPORTED_START	IRb_REPORTED_END	IRb_REPORTED_LENGTH
MF770619	yes	131889	162105	30217	yes	83129	113345	30217
MH021448	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR873422	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX756180	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK881632	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581436	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT722982	yes	129680	156459	26780	yes	85017	111796	26780
MH607377	yes	135309	161124	25816	yes	90424	116239	25816
MH119133	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN648633	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021449	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770620	yes	131901	170087	38187	yes	85526	123712	38187
MH159200	yes	131631	157702	26072	yes	87145	113216	26072
JN637766	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR873423	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG572117	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JN563929	yes	130533	155863	25331	yes	86634	111964	25331
MH181220	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581437	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK881633	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT722983	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK780227	yes	84068	109988	25921	yes	129144	144558	15415
KJ566306	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN648634	yes	1	153247	26343	yes	82619	108961	26343
MH021450	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG800828	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770621	yes	134912	185219	50308	yes	76807	127114	50308
KR873424	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX871234	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
AP009123	yes	134727	160317	25591	yes	88842	114432	25591
MG581438	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK881634	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX557270	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181221	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH036253	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LT222229	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN648635	yes	1	153024	26500	yes	82133	108632	26500
MH021451	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG967555	yes	135424	161250	25827	yes	90561	116387	25827
KU833271	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581439	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF459662	yes	87149	112579	25431	yes	65	131210	131146
KJ136821	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770622	yes	130621	170666	40046	yes	82828	122873	40046
MN515038	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC686332	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK881635	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH706763	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LT222230	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988715	yes	117867	139666	21800	yes	83419	105218	21800
MH021452	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN648636	yes	1	153340	26533	yes	82286	108817	26532
MH181222	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118117	yes	131673	157687	26015	yes	86216	112230	26015
MG581440	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN223720	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ136822	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC686333	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK881636	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK188885	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770623	yes	134965	184784	49820	yes	77310	127129	49820
MK947051	yes	131017	156989	25973	yes	86228	112200	25973
KX822074	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY231152	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988716	yes	117760	139552	21793	yes	83217	105013	21797
JQ310743	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021453	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK751472	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181223	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG674209	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118118	yes	127900	153910	26011	yes	84060	110070	26011
MG581441	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY347906	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN223721	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK881637	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK532038	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770624	yes	130411	170609	40199	yes	82356	122554	40199
KC686331	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY273445	yes	129590	155379	25790	yes	85555	111344	25790
MH988717	yes	117823	139618	21796	yes	83177	104972	21796
MH021454	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK779998	yes	132814	174830	42017	yes	87451	129467	42017
KY707767	yes	116098	138877	22780	yes	80774	103556	22783
MH181224	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118119	yes	132123	159001	26879	yes	86073	112951	26879
KT692644	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581442	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN223722	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK881638	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK049537	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK301251	yes	130386	156387	26002	yes	85607	111608	26002
MF687749	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KM014691	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770625	yes	133042	178956	45915	yes	79042	124956	45915
MH988718	yes	117760	139552	21793	yes	83175	104966	21792
KY707768	yes	116262	139044	22783	yes	80932	103714	22783
MH181225	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021455	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118120	yes	132374	157939	25566	yes	86744	112309	25566
MG581443	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH036254	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR270822	yes	138088	163357	25270	yes	90472	115741	25270
MK616470	yes	130305	156008	25704	yes	86774	112477	25704
HG530133	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR078265	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK690622	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988719	yes	117846	139642	21797	yes	83223	105019	21797
KY707769	yes	116193	138972	22780	yes	80851	103639	22789
MH181226	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770626	yes	132928	175713	42786	yes	82334	125119	42786
MH021456	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118121	yes	131483	157807	26325	yes	86216	112540	26325
KY511612	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581444	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU310542	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR270823	yes	138389	164013	25625	yes	89784	115408	25625
MK986659	yes	131026	156998	25973	yes	86195	112167	25973
DQ231562	yes	129718	155312	25595	yes	85750	111344	25595
MK690623	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX507245	yes	3492	26286	22795	yes	38831	61625	22795
MH988720	yes	117830	139626	21797	yes	83207	105003	21797
KY707770	yes	116125	138907	22783	yes	80798	103580	22783
MH181227	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021457	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581445	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF534489	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118122	yes	127707	153776	26070	yes	83886	109955	26070
KY490694	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770627	yes	133385	178626	45242	yes	80013	125254	45242
MK681211	yes	131505	173381	41877	yes	86770	128646	41877
FJ597983	yes	133317	159924	26608	yes	88327	114934	26608
MF061165	yes	127051	164283	37233	yes	82292	119524	37233
MK690624	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY707771	yes	116112	138891	22780	yes	80785	103567	22783
MH988721	yes	117804	139605	21802	yes	83191	104992	21802
KF534490	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021458	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581446	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118123	yes	130887	156711	25825	yes	85929	111753	25825
MG696658	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH992398	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770628	yes	131681	176129	44449	yes	79172	123620	44449
JN032131	yes	118975	142077	23103	yes	83342	106444	23103
MF061166	yes	128609	166198	37590	yes	83621	121210	37590
MH181228	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK690625	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY707772	yes	116110	138889	22780	yes	80783	103565	22783
MH988722	yes	117795	139591	21797	yes	83200	104996	21797
MG581447	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021459	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118124	yes	131855	157434	25580	yes	86962	112541	25580
MG181220	yes	125973	151942	25970	yes	83079	109048	25970
KT376489	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH992399	yes	23295	153958	130664	yes	109263	135219	25957
KX528334	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN068273	yes	133763	160136	26374	yes	88172	114545	26374
MF770629	yes	131380	173434	42055	yes	81387	123441	42055
KT070882	yes	122779	147118	24340	yes	84467	108806	24340
KY120323	yes	128706	155468	26763	yes	84568	111329	26762
KY707773	yes	116182	138961	22780	yes	80823	103605	22783
MF061167	yes	127687	164756	37070	yes	82673	119742	37070
MH988723	yes	117826	139622	21797	yes	83237	105033	21797
MK372232	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581448	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021460	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118125	yes	132491	158504	26014	yes	87621	113634	26014
MG181221	yes	125882	151081	25200	yes	82786	107985	25200
MN105615	yes	85363	112612	27250	yes	130606	157855	27250
MH181229	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX575836	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH992400	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU238086	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT760575	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX868670	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN649876	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770630	yes	137721	183788	46068	yes	83826	129893	46068
MG581449	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988724	yes	117815	139612	21798	yes	83206	105003	21798
MK423879	yes	130840	156886	26047	yes	86046	112092	26047
MF061168	yes	126889	163907	37019	yes	81946	118964	37019
MH021461	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH118126	yes	131681	157192	25512	yes	86860	112371	25512
MG181222	yes	126377	151666	25290	yes	83326	108615	25290
MK782979	yes	130541	156588	26048	yes	85714	111761	26048
KF359901	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF539932	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181230	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX575837	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KM489056	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KM489055	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR584659	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT153019	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT760576	yes	144315	155694	11380	yes	84973	96352	11380
MG581450	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH277332	yes	91157	117826	26670	yes	133656	160325	26670
MF770631	yes	136387	187672	51286	yes	77319	128604	51286
MH988725	yes	117809	139606	21798	yes	83183	104980	21798
MK423880	yes	127494	153612	26119	yes	83698	109816	26119
MH936550	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021462	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH460864	yes	131676	158055	26380	yes	86249	112628	26380
MN229512	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC817462	yes	117744	139547	21804	yes	83223	105026	21804
MG181223	yes	126899	152502	25604	yes	83447	109050	25604
MF061169	yes	129037	166126	37090	yes	83840	120929	37090
KF359902	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181231	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF539933	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX545461	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT153020	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH036255	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK040922	yes	130281	155756	25476	yes	86596	112071	25476
MG581451	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988726	yes	117786	139582	21797	yes	83178	104974	21797
MK984209	yes	127529	154108	26580	yes	83197	109776	26580
MG356709	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021463	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC817463	yes	117696	139499	21804	yes	83162	104965	21804
KX827312	yes	90184	114938	24755	yes	134642	159396	24755
MF770632	yes	129739	171493	41755	yes	80238	121992	41755
GU228899	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181232	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF179637	yes	130581	157349	26769	yes	85746	112514	26769
MK144833	yes	126229	164617	38389	yes	82933	121321	38389
KF359903	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
AP006714	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF061170	yes	127876	164976	37101	yes	82748	119848	37101
EU196765	yes	123860	150284	26425	yes	79826	106250	26425
KT153023	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581452	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG925368	yes	128468	155014	26547	yes	84025	110571	26547
MH988727	yes	117806	139602	21797	yes	83193	104989	21797
MK309611	yes	123973	149639	25667	yes	81329	106995	25667
MH551145	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH021464	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX497031	yes	130956	158401	27446	yes	85899	113344	27446
AB893949	yes	127255	153661	26407	yes	82825	109231	26407
MG386401	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF359904	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX263727	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG262340	yes	127604	155055	27452	yes	83990	111441	27452
KT153022	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF061171	yes	114733	136733	22001	yes	76404	98404	22001
MF471371	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LC325490	yes	127642	154101	26460	yes	83342	109798	26457
KX499856	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY430683	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581453	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF887484	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988728	yes	117820	139617	21798	yes	83211	105008	21798
MH796668	yes	129153	155957	26805	yes	83636	110440	26805
MH551146	yes	88057	114458	26402	yes	133072	159473	26402
MH021465	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
AB893950	yes	122796	148778	25983	yes	84868	110850	25983
KU230438	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY117235	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181234	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770634	yes	127645	166665	39021	yes	80594	119614	39021
MG262341	yes	128757	156540	27784	yes	84489	112272	27784
KF359905	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX904877	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY679199	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU321892	yes	125325	150859	25535	yes	82065	107599	25535
MF061172	yes	111981	132649	20669	yes	77140	97808	20669
KT153021	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF471372	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX499858	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581454	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR135077	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX522942	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988729	yes	117857	139653	21797	yes	83249	105045	21797
MF488719	yes	127174	152821	25648	yes	84478	110125	25648
MH021466	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG644608	yes	133410	159814	26405	yes	88828	115231	26404
MH181235	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY679200	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF770635	yes	127658	166019	38362	yes	81504	119865	38362
KF359906	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF061173	yes	127706	165100	37395	yes	82449	119843	37395
KF751824	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
EU117376	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF471373	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX499862	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG581455	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT750009	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY430685	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JX280391	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX510276	yes	132025	158305	26281	yes	86811	113091	26281
MH988730	yes	117826	139622	21797	yes	83203	104999	21797
MH796670	yes	129917	157379	27463	yes	83803	111265	27463
KX832299	yes	128641	155675	27035	yes	84103	111137	27035
MH021467	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG644609	yes	134029	160116	26088	yes	89313	115406	26094
KY679201	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
DQ359689	yes	110068	155129	45062	yes	11067	84638	73572
KX257487	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG262343	yes	129040	156680	27641	yes	84794	112434	27641
KF359907	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF751825	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG000589	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX499863	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF061174	yes	128354	165876	37523	yes	83045	120567	37523
KY430686	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181236	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KM244734	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988731	yes	117719	139515	21797	yes	83113	104908	21796
MF155892	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH796671	yes	130012	157613	27602	yes	84073	111674	27602
KC695666	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX832300	yes	128817	155864	27048	yes	84214	111261	27048
MH021468	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH036256	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG262344	yes	128681	156342	27662	yes	84481	112142	27662
KF359908	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX499864	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY430687	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF061175	yes	119590	152505	32916	yes	81616	114531	32916
MF449303	yes	127504	153730	26227	yes	83510	109736	26227
MH988732	yes	117853	139652	21800	yes	83171	104970	21800
MK176508	yes	133548	160117	26570	yes	88196	114765	26570
MF177037	yes	128293	153723	25431	yes	84784	110214	25431
MH796672	yes	131246	158806	27561	yes	85302	112862	27561
KX832301	yes	128809	155856	27048	yes	84233	111280	27048
MH021469	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH181237	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG262345	yes	129000	156698	27699	yes	84772	112470	27699
KF359909	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK946456	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF061176	yes	119016	151843	32828	yes	80866	113693	32828
KY430688	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JX436155	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX425622	yes	130924	158591	27668	yes	84634	112301	27668
MF668133	yes	130363	156064	25702	yes	85805	111506	25702
MH988733	yes	117795	139592	21798	yes	83198	104995	21798
MF177038	yes	127499	152963	25465	yes	83935	109399	25465
MG682353	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX832302	yes	128859	155905	27047	yes	84260	111306	27047
MH021470	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG262346	yes	129796	157442	27647	yes	85365	113011	27647
KX551970	yes	84215	110475	26261	yes	128255	154515	26261
KF359910	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF686120	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH293451	yes	84989	111514	26526	yes	130172	156697	26526
MF061177	yes	115540	146691	31152	yes	77553	108704	31152
KY430689	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH660709	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988734	yes	117805	139601	21797	yes	83210	105006	21797
KX832303	yes	128824	155869	27046	yes	84251	111296	27046
MH021471	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG262348	yes	129368	156800	27433	yes	85333	112765	27433
KU361241	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH205735	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF359911	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF150041	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR673323	yes	85837	112153	26317	yes	126744	153059	26316
KP221924	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF061178	yes	127015	163902	36888	yes	82244	119131	36888
KY430690	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH660710	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN310560	yes	117801	139597	21797	yes	83191	104987	21797
MH988735	yes	117776	139572	21797	yes	83168	104964	21797
MG867568	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH628454	yes	133720	159825	26106	yes	88744	114858	26115
MF170217	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ862886	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX832304	yes	128840	155882	27043	yes	84203	111245	27043
KY873324	yes	85883	112694	26812	yes	129140	155951	26812
MH021472	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG262349	yes	128872	156491	27620	yes	84772	112391	27620
KT878501	yes	130315	157080	26766	yes	85456	112221	26766
MH708560	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU361242	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY792991	yes	139153	164488	25336	yes	92000	117335	25336
KF359912	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP221925	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
DQ424856	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY430691	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988736	yes	117908	139703	21796	yes	83266	105061	21796
MF061179	yes	127331	164047	36717	yes	82637	119353	36717
MF990561	yes	133491	160062	26572	yes	88088	114659	26572
MF156140	yes	128235	154108	25874	yes	84222	110095	25874
MH628453	yes	134437	160538	26102	yes	89035	115173	26139
KX832305	yes	128922	155969	27048	yes	84324	111371	27048
MG262350	yes	129462	157168	27707	yes	85072	112778	27707
MH021473	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK380719	yes	84180	110443	26264	yes	128224	154487	26264
MH708561	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT992850	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY769125	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK036045	yes	127302	152044	24743	yes	85436	110178	24743
KF359913	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP221926	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH071405	yes	127836	155319	27484	yes	84902	112385	27484
KY430692	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH988737	yes	117805	139601	21797	yes	83197	104993	21797
MF990562	yes	133456	160027	26572	yes	88089	114660	26572
MG262351	yes	129369	156947	27579	yes	85224	112802	27579
MH628451	yes	133202	159286	26085	yes	88564	114641	26078
MF061180	yes	127719	164856	37138	yes	82621	119758	37138
KX832306	yes	128846	155873	27028	yes	84258	111285	27028
MH021474	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
